ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-07-08T00:00:00.000000000Z,35,2,10306,387.850000000,390.635000000,385.360000000,388.790000000,8565078,SPY
2022-07-08T00:00:00.000000000Z,35,2,7393,268.340000000,268.340000000,263.285000000,267.570000000,6856506,MSFT
2022-07-08T00:00:00.000000000Z,35,2,8174,71.740000000,72.240000000,71.340000000,71.900000000,627548,ORCL
2022-07-08T00:00:00.000000000Z,35,2,4868,2368.000000000,2393.930000000,2330.000000000,2385.000000000,472889,GOOGL
2022-07-08T00:00:00.000000000Z,35,2,7642,187.990000000,189.900000000,182.700000000,187.000000000,1712323,NFLX
2022-07-11T00:00:00.000000000Z,35,2,10303,385.800000000,387.050000000,383.500000000,384.840000000,8177595,SPY
2022-07-11T00:00:00.000000000Z,35,2,7090,169.270000000,169.800000000,161.910000000,162.930000000,5819747,META
2022-07-11T00:00:00.000000000Z,35,2,7920,156.280000000,156.700000000,150.400000000,151.080000000,8321575,NVDA
2022-07-11T00:00:00.000000000Z,35,2,589,114.510000000,114.880000000,110.880000000,111.800000000,12653720,AMZN
2022-07-11T00:00:00.000000000Z,35,2,9510,136.050000000,136.600000000,135.550000000,135.810000000,170901,RSP
2022-07-11T00:00:00.000000000Z,35,2,7639,184.400000000,185.900000000,176.890000000,177.610000000,1899911,NFLX
2022-07-11T00:00:00.000000000Z,35,2,27,145.560000000,146.640000000,143.780000000,145.070000000,14295096,AAPL
2022-07-11T00:00:00.000000000Z,35,2,532,78.380000000,78.490000000,75.850000000,76.840000000,8951538,AMD
2022-07-11T00:00:00.000000000Z,35,2,4865,2368.000000000,2372.460000000,2306.580000000,2315.000000000,589603,GOOGL
2022-07-11T00:00:00.000000000Z,35,2,4595,27.020000000,27.160000000,26.580000000,26.660000000,1768195,GDX
2022-07-11T00:00:00.000000000Z,35,2,8171,71.590000000,71.960000000,70.900000000,71.640000000,568492,ORCL
2022-07-11T00:00:00.000000000Z,35,2,7390,266.040000000,266.530000000,262.180000000,264.650000000,6857847,MSFT
2022-07-11T00:00:00.000000000Z,35,2,11004,755.070000000,763.990000000,700.860000000,702.080000000,7061623,TSLA
2022-07-12T00:00:00.000000000Z,35,2,4591,26.610000000,26.920000000,26.145000000,26.250000000,1991831,GDX
2022-07-12T00:00:00.000000000Z,35,2,7637,175.860000000,179.770000000,173.410000000,174.010000000,2299825,NFLX
2022-07-12T00:00:00.000000000Z,35,2,532,76.220000000,77.440000000,74.420000000,76.350000000,8897472,AMD
2022-07-12T00:00:00.000000000Z,35,2,7088,161.600000000,165.900000000,160.820000000,162.780000000,5037779,META
2022-07-12T00:00:00.000000000Z,35,2,7388,262.820000000,266.150000000,252.040000000,254.040000000,11037153,MSFT
2022-07-12T00:00:00.000000000Z,35,2,8169,70.910000000,71.930000000,70.070000000,70.200000000,863369,ORCL
2022-07-12T00:00:00.000000000Z,35,2,589,111.200000000,113.230000000,108.340000000,109.250000000,12340942,AMZN
2022-07-12T00:00:00.000000000Z,35,2,11005,697.210000000,719.330000000,685.120000000,696.400000000,5762834,TSLA
2022-07-12T00:00:00.000000000Z,35,2,27,143.740000000,148.450000000,143.370000000,145.650000000,18406031,AAPL
2022-07-12T00:00:00.000000000Z,35,2,9509,135.360000000,136.690000000,134.510000000,135.130000000,204879,RSP
2022-07-12T00:00:00.000000000Z,35,2,10303,381.750000000,386.160000000,378.990000000,380.690000000,8899909,SPY
2022-07-12T00:00:00.000000000Z,35,2,7918,150.200000000,154.310000000,148.770000000,151.050000000,8051170,NVDA
